Age,Weight_kg,Height_m,Max_BPM,Avg_BPM,Resting_BPM,Session_Duration_hours,Calories_Burned,Fat_Percentage,Water_Intake_liters,Workout_Frequency_(days/week),Experience_Level,BMI,BMI_fixed,Duration_Category,Intensity,HRR,Hydration_Ratio,BPM_Efficiency,Gender_Male,Workout_Type_HIIT,Workout_Type_Strength,Workout_Type_Yoga,Workout_Type_\nStrength,Workout_Type_\tCardio,Workout_Type_\tYoga,cluster,cluster_label
39.0,47.0,1.78,181.0,155.0,55.0,1.89,747.0,31.7,2.3,3.0,3.0,28.39,14.833985607877793,Long,395.23809523809524,126.0,0.04893617021276595,0.856353591160221,False,False,False,True,False,False,False,-1,Active
46.0,40.0,1.88,168.0,131.0,69.0,2.0,672.0,25.4,2.4,2.0,2.0,12.32,11.317338162064283,Long,336.0,99.0,0.06,0.7797619047619048,True,False,False,False,False,False,False,0,Active
19.0,87.7,1.98,186.0,145.0,50.0,1.61,1705.0,14.1,2.3,3.0,2.0,15.99,22.37016630956025,Long,1059.0062111801242,136.0,0.02622576966932725,0.7795698924731183,True,False,True,False,False,False,False,-1,Active
56.0,107.4,1.73,176.0,141.0,71.0,0.65,1564.0,26.0,3.0,2.0,3.0,14.48,35.88492766213372,Short,2406.153846153846,105.0,0.027932960893854747,0.8011363636363636,False,True,False,False,False,False,False,0,Active
19.0,71.7,1.91,197.0,148.0,74.0,1.15,464.0,32.5,2.7,4.0,2.0,19.09,19.654066500370057,Medium,403.47826086956525,123.0,0.03765690376569038,0.751269035532995,False,False,False,False,False,False,False,0,Active
30.0,90.6,1.6,161.0,125.0,52.0,1.03,1410.0,16.0,3.5,4.0,2.0,13.91,35.39062499999999,Medium,1368.9320388349515,109.0,0.03863134657836645,0.7763975155279503,False,False,False,True,False,False,False,0,Active
23.0,56.2,1.76,195.0,141.0,55.0,1.45,1195.0,23.9,3.2,4.0,1.0,22.61,18.143078512396695,Medium,824.1379310344828,140.0,0.05693950177935943,0.7230769230769231,True,True,False,False,False,False,False,-1,Active
39.0,71.3,1.77,171.0,124.0,74.0,0.69,871.0,21.9,2.1,5.0,1.0,14.31,22.758466596444187,Short,1262.3188405797102,97.0,0.02945301542776999,0.7251461988304093,False,False,False,False,False,False,False,-1,Active
54.0,47.7,1.56,181.0,128.0,74.0,1.5,853.0,26.5,1.5,3.0,1.0,23.64,19.600591715976332,Medium,568.6666666666666,107.0,0.031446540880503145,0.7071823204419889,False,False,False,True,False,False,False,-1,Active
,63.0,1.51,184.0,169.0,71.0,1.3,1136.0,23.8,2.3,3.0,2.0,22.69,27.630367089162757,Medium,873.8461538461538,113.0,0.0365079365079365,0.9184782608695652,True,False,False,False,False,False,False,-1,Active
26.0,129.9,1.71,196.0,136.0,74.0,1.27,931.0,26.6,1.8,5.0,1.0,21.04,44.42392531035191,Medium,733.0708661417323,122.0,0.013856812933025403,0.6938775510204082,True,False,False,True,False,False,False,-1,Active
22.0,102.4,1.5,173.0,156.0,55.0,1.44,453.0,17.5,1.6,4.0,3.0,18.23,45.51111111111111,Medium,314.58333333333337,118.0,0.015625,0.9017341040462428,False,True,False,False,False,False,False,-1,Active
36.0,64.2,1.78,192.0,130.0,74.0,1.38,1708.0,31.9,2.1,,1.0,25.59,20.262593106930943,Medium,1237.68115942029,118.0,0.03271028037383177,0.6770833333333334,False,False,False,True,False,False,False,2,Moderate
25.0,57.2,1.82,184.0,140.0,74.0,1.15,888.0,26.9,2.6,4.0,2.0,15.23,17.26844583987441,Medium,772.1739130434784,110.0,0.045454545454545456,0.7608695652173914,True,False,True,False,False,False,False,0,Active
59.0,71.8,1.5,165.0,152.0,74.0,1.94,758.0,28.9,3.3,3.0,1.0,16.87,31.91111111111111,Long,390.7216494845361,91.0,0.04596100278551532,0.9212121212121213,True,False,False,True,False,False,False,-1,Active
18.0,112.4,1.71,177.0,165.0,55.0,1.56,1044.0,33.5,1.7,2.0,2.0,24.43,38.43917786669403,Long,669.2307692307692,122.0,0.015124555160142347,0.9322033898305084,True,True,False,False,False,False,False,-1,Active
18.0,40.0,1.72,188.0,155.0,74.0,1.51,1266.0,26.4,2.5,2.0,,17.79,13.520822065981614,Long,838.4105960264901,114.0,0.0625,0.824468085106383,True,False,False,False,False,False,False,0,Active
32.0,72.4,1.74,189.0,127.0,60.0,1.4,1090.0,16.9,1.6,2.0,1.0,17.68,23.913330690976352,Medium,778.5714285714287,129.0,0.022099447513812154,0.671957671957672,True,False,False,True,False,False,False,-1,Active
28.0,62.4,1.56,193.0,141.0,55.0,2.0,861.0,32.2,3.6,3.0,1.0,18.61,25.64102564102564,Long,430.5,138.0,0.057692307692307696,0.7305699481865285,True,False,False,False,False,False,False,-1,Active
27.0,78.6,1.65,198.0,127.0,66.0,1.61,938.0,26.8,3.1,3.0,1.0,17.92,28.870523415977964,Long,582.6086956521739,132.0,0.03944020356234097,0.6414141414141414,False,False,False,True,False,False,False,-1,Active
44.0,45.0,1.53,199.0,158.0,50.0,0.7,930.0,21.9,3.6,4.0,1.0,27.74,19.223375624759708,Short,1328.5714285714287,149.0,0.08,0.7939698492462312,False,False,True,False,False,False,False,-1,Active
20.0,103.4,1.53,180.0,166.0,56.0,1.28,631.0,23.0,3.0,4.0,1.0,19.18,44.17104532444787,Medium,492.96875,124.0,0.029013539651837523,0.9222222222222223,False,True,False,False,False,False,False,-1,Active
51.0,79.2,1.85,178.0,147.0,51.0,1.52,1355.0,23.2,2.0,4.0,1.0,18.95,23.140978816654492,Long,891.4473684210526,127.0,0.025252525252525252,0.8258426966292135,True,False,True,False,False,False,False,-1,Active
35.0,75.7,1.61,192.0,147.0,52.0,0.92,1211.0,21.2,2.4,3.0,2.0,23.19,29.204120211411595,Medium,1316.304347826087,140.0,0.031704095112285335,0.765625,True,False,True,False,False,False,False,2,Moderate
21.0,76.8,1.75,166.0,125.0,74.0,1.56,1152.0,25.1,2.7,3.0,1.0,16.66,25.077551020408162,Long,738.4615384615385,92.0,0.03515625000000001,0.7530120481927711,True,False,True,False,False,False,False,0,Active
48.0,112.6,1.69,160.0,162.0,63.0,0.89,1482.0,22.6,2.5,4.0,2.0,12.32,39.424389902314346,Medium,1665.1685393258426,97.0,0.022202486678507993,1.0125,False,False,False,False,False,False,False,-1,Active
18.0,73.7,1.78,192.0,154.0,73.0,1.18,851.0,27.4,2.6,2.0,2.0,21.08,23.260951900012625,Medium,721.1864406779662,119.0,0.035278154681139755,0.8020833333333334,True,False,True,False,False,False,False,0,Active
18.0,84.0,1.71,194.0,148.0,52.0,0.92,621.0,28.3,3.4,3.0,3.0,17.99,28.726787729557817,Medium,675.0,142.0,0.04047619047619048,0.7628865979381443,False,False,True,False,False,False,False,1,Active
28.0,68.0,1.7,174.0,155.0,68.0,0.74,1464.0,17.0,2.3,3.0,2.0,21.67,23.529411764705884,Short,1978.3783783783783,106.0,0.033823529411764704,0.8908045977011494,True,False,False,True,False,False,False,-1,Active
30.0,54.3,1.82,185.0,168.0,66.0,1.4,1415.0,25.4,3.6,3.0,1.0,26.4,16.392947711629027,Medium,1010.7142857142858,119.0,0.06629834254143648,0.9081081081081082,False,False,False,False,False,False,False,0,Active
18.0,42.8,1.89,194.0,162.0,73.0,2.0,736.0,22.5,1.5,3.0,2.0,18.54,11.981747431482882,Long,368.0,121.0,0.03504672897196262,0.8350515463917526,False,False,False,False,False,False,False,0,Active
49.0,102.4,1.65,185.0,148.0,68.0,1.27,980.0,34.8,2.0,5.0,,15.52,37.61248852157944,Medium,771.6535433070866,117.0,0.01953125,0.8,False,False,False,False,False,False,False,-1,Active
42.0,95.5,1.95,168.0,125.0,72.0,1.91,632.0,26.1,2.0,4.0,1.0,12.32,25.115055884286654,Long,330.89005235602093,96.0,0.020942408376963352,0.7440476190476191,False,True,False,False,False,False,False,-1,Active
27.0,58.7,1.98,199.0,145.0,52.0,2.0,1119.0,23.0,2.7,2.0,3.0,18.99,14.972961942658914,Long,559.5,147.0,0.04599659284497445,0.7286432160804021,False,False,False,False,False,False,False,-1,Active
24.0,86.5,1.65,196.0,169.0,59.0,1.08,771.0,27.3,2.1,3.0,1.0,12.9,31.772268135904504,Medium,713.8888888888888,137.0,0.024277456647398846,0.8622448979591837,False,False,False,False,False,False,False,-1,Active
44.0,63.6,1.78,167.0,129.0,74.0,1.34,1165.0,10.7,3.4,4.0,1.0,15.73,20.073223077894205,Medium,869.4029850746268,93.0,0.05345911949685534,0.7724550898203593,False,False,False,True,False,False,False,0,Active
52.0,58.7,1.58,169.0,131.0,53.0,1.14,900.0,28.5,3.3,3.0,,19.62,23.513859958340007,Medium,789.4736842105264,116.0,0.05621805792163543,0.7751479289940828,True,True,False,False,False,False,False,0,Active
49.0,56.6,1.75,198.0,120.0,72.0,1.12,1767.0,23.6,2.6,2.0,2.0,34.37,18.481632653061226,Medium,1577.6785714285713,126.0,0.045936395759717315,0.6060606060606061,False,False,False,True,False,False,False,-1,Active
36.0,40.0,1.71,178.0,169.0,69.0,1.3,1519.0,27.5,2.7,4.0,1.0,39.74,13.679422728360864,Medium,1168.4615384615383,109.0,0.0675,0.949438202247191,False,True,False,False,False,False,False,-1,Active
23.0,67.7,1.73,188.0,162.0,54.0,1.76,954.0,18.0,3.2,3.0,1.0,16.07,22.6202011427044,Long,542.0454545454545,134.0,0.047267355982274745,0.8617021276595744,False,False,False,True,False,False,False,0,Active
56.0,40.0,1.74,172.0,146.0,74.0,1.43,876.0,26.0,3.4,2.0,1.0,19.63,13.21178491214163,Medium,612.5874125874126,98.0,0.08499999999999999,0.8488372093023255,False,False,False,True,False,False,False,-1,Active
48.0,68.0,1.69,185.0,144.0,68.0,1.23,695.0,14.2,2.6,2.0,1.0,28.93,23.80869017191275,Medium,565.040650406504,117.0,0.03823529411764706,0.7783783783783784,False,False,False,True,False,False,False,-1,Active
24.0,68.3,1.74,184.0,161.0,51.0,1.9,566.0,27.5,3.5,4.0,,16.26,22.559122737481832,Long,297.89473684210526,133.0,0.05124450951683748,0.875,True,False,False,False,False,False,False,0,Active
22.0,99.1,1.72,182.0,169.0,62.0,1.14,1105.0,31.4,3.6,4.0,1.0,16.91,33.497836668469446,Medium,969.2982456140352,120.0,0.03632694248234107,0.9285714285714286,False,False,False,True,False,False,False,-1,Active
20.0,72.9,1.63,164.0,156.0,51.0,1.11,582.0,27.1,3.2,3.0,2.0,19.83,27.43799164439761,Medium,524.3243243243243,113.0,0.0438957475994513,0.9512195121951219,False,False,True,False,False,False,False,0,Active
44.0,40.0,1.68,175.0,156.0,74.0,1.04,1010.0,28.1,1.8,3.0,3.0,12.32,14.172335600907031,Medium,971.1538461538461,101.0,0.045,0.8914285714285715,False,False,False,False,False,False,False,-1,Active
33.0,58.3,1.77,167.0,153.0,74.0,1.41,969.0,29.5,2.6,2.0,1.0,20.47,18.608956557821823,Medium,687.2340425531916,93.0,0.04459691252144083,0.9161676646706587,False,False,True,False,False,False,False,-1,Active
18.0,40.0,1.64,177.0,134.0,53.0,0.98,468.0,25.6,2.1,3.0,3.0,18.78,14.872099940511603,Medium,477.55102040816325,124.0,0.052500000000000005,0.7570621468926554,True,False,False,False,True,False,False,-1,Active
59.0,45.8,1.5,163.0,137.0,55.0,1.98,1306.0,24.0,2.9,4.0,2.0,26.25,20.355555555555554,Long,659.5959595959596,108.0,0.06331877729257643,0.8404907975460123,True,False,False,False,False,True,False,0,Active
27.0,52.3,1.75,180.0,128.0,61.0,1.92,931.0,15.0,2.5,4.0,2.0,23.23,17.077551020408162,Long,484.89583333333337,119.0,0.047801147227533466,0.7111111111111111,True,False,True,False,False,False,False,0,Active
33.0,76.3,1.95,188.0,125.0,72.0,0.95,899.0,21.7,2.3,5.0,1.0,26.08,20.065746219592373,Medium,946.3157894736843,116.0,0.030144167758846655,0.6648936170212766,False,False,True,False,False,False,False,2,Moderate
47.0,77.5,1.72,176.0,151.0,56.0,1.39,679.0,13.3,3.5,2.0,3.0,24.32,26.196592752839376,Medium,488.48920863309354,120.0,0.04516129032258064,0.8579545454545454,True,False,False,False,False,False,False,-1,Active
46.0,40.0,1.58,177.0,132.0,58.0,1.29,1189.0,31.1,2.5,,2.0,12.73,16.023073225444637,Medium,921.7054263565891,119.0,0.0625,0.7457627118644068,False,False,True,False,False,False,False,0,Active
27.0,96.3,1.61,198.0,159.0,70.0,1.16,1203.0,32.1,3.1,3.0,1.0,12.32,37.15134446973496,Medium,1037.0689655172414,128.0,0.032191069574247146,0.803030303030303,True,False,False,False,False,False,False,-1,Active
55.0,68.4,1.85,175.0,150.0,58.0,1.16,1020.0,29.2,2.5,4.0,2.0,22.87,19.985390796201607,Medium,879.3103448275863,117.0,0.03654970760233918,0.8571428571428571,False,False,False,False,False,False,False,0,Active
18.0,56.9,1.77,183.0,131.0,57.0,1.28,1052.0,20.7,3.5,4.0,2.0,18.57,18.162086245970187,Medium,821.875,126.0,0.061511423550087874,0.7158469945355191,False,False,False,False,False,False,False,1,Active
24.0,47.6,1.51,175.0,120.0,70.0,0.78,583.0,22.6,1.7,5.0,1.0,13.71,20.876277356256306,Medium,747.4358974358975,105.0,0.03571428571428571,0.6857142857142857,True,False,True,False,False,False,False,-1,Active
26.0,88.8,1.7,193.0,169.0,68.0,1.91,1145.0,18.1,3.7,2.0,2.0,30.34,30.72664359861592,Long,599.4764397905759,125.0,0.04166666666666667,0.8756476683937824,False,False,True,False,False,False,False,0,Active
18.0,67.5,1.69,177.0,169.0,72.0,1.07,975.0,26.2,1.6,4.0,3.0,14.08,23.633626273589865,Medium,911.214953271028,105.0,0.023703703703703706,0.9548022598870056,False,False,False,False,False,False,False,-1,Active
29.0,96.7,1.7,175.0,141.0,54.0,2.0,880.0,32.9,2.3,2.0,3.0,13.16,33.46020761245675,Long,440.0,121.0,0.023784901758014475,0.8057142857142857,True,False,False,True,False,False,False,0,Active
26.0,55.7,1.99,172.0,142.0,68.0,2.0,1583.0,18.9,3.2,4.0,1.0,12.32,14.065301381278251,Long,791.5,104.0,0.05745062836624776,0.8255813953488372,False,False,True,False,False,False,False,0,Active
43.0,112.0,1.71,166.0,146.0,58.0,1.62,815.0,31.2,2.6,3.0,1.0,21.1,38.30238363941042,Long,503.0864197530864,108.0,0.023214285714285715,0.8795180722891566,True,True,False,False,False,False,False,-1,Active
48.0,75.2,1.72,193.0,169.0,59.0,1.54,1726.0,30.9,1.9,2.0,,18.64,25.419145484045433,Long,1120.7792207792209,134.0,0.02526595744680851,0.8756476683937824,True,False,False,False,False,False,False,-1,Active
29.0,72.0,1.66,167.0,144.0,68.0,0.87,1248.0,10.0,3.6,4.0,3.0,17.55,26.1286108288576,Medium,1434.4827586206898,99.0,0.05,0.8622754491017964,False,True,False,False,False,False,False,-1,Active
22.0,75.7,1.56,194.0,142.0,61.0,1.23,643.0,28.8,2.3,3.0,3.0,13.93,31.10618014464168,Medium,522.7642276422764,133.0,0.030383091149273445,0.7319587628865979,False,False,True,False,False,False,False,0,Active
20.0,59.1,1.62,191.0,127.0,54.0,1.02,995.0,26.2,3.4,3.0,,12.46,22.51943301326017,Medium,975.4901960784314,137.0,0.05752961082910321,0.6649214659685864,True,False,False,False,False,False,False,-1,Active
39.0,41.3,1.76,175.0,136.0,69.0,1.42,1096.0,24.3,3.2,3.0,2.0,15.36,13.332902892561982,Medium,771.830985915493,106.0,0.0774818401937046,0.7771428571428571,False,False,False,True,False,False,False,-1,Active
41.0,40.0,1.77,176.0,148.0,65.0,1.03,1238.0,11.6,1.9,5.0,1.0,22.98,12.767723195761114,Medium,1201.9417475728155,111.0,0.0475,0.8409090909090909,True,False,False,True,False,False,False,-1,Active
41.0,63.7,1.93,195.0,155.0,61.0,1.18,1064.0,21.2,3.4,4.0,1.0,15.76,17.101130231684074,Medium,901.6949152542373,134.0,0.053375196232339085,0.7948717948717948,False,True,False,False,False,False,False,0,Active
31.0,100.0,1.75,190.0,169.0,67.0,1.46,1573.0,20.8,3.4,4.0,2.0,,32.6530612244898,Medium,1077.3972602739727,123.0,0.034,0.8894736842105263,False,True,False,False,False,False,False,0,Active
20.0,45.0,1.68,171.0,154.0,74.0,1.5,1692.0,10.0,2.4,4.0,1.0,12.32,15.94387755102041,Medium,1128.0,97.0,0.05333333333333333,0.9005847953216374,True,False,False,True,False,False,False,-1,Active
26.0,47.1,1.61,189.0,138.0,52.0,1.26,1095.0,19.3,3.6,3.0,3.0,29.91,18.170595270244203,Medium,869.047619047619,137.0,0.07643312101910828,0.7301587301587301,True,False,False,True,False,False,False,-1,Active
37.0,72.1,1.83,164.0,152.0,58.0,1.58,1091.0,34.4,3.3,4.0,2.0,16.92,21.529457433784223,Long,690.506329113924,106.0,0.04576976421636616,0.926829268292683,False,False,False,False,False,False,False,-1,Active
59.0,57.5,1.81,175.0,169.0,58.0,1.47,1349.0,24.7,2.5,5.0,2.0,12.32,17.551356796190593,Medium,917.687074829932,117.0,0.043478260869565216,0.9657142857142857,True,False,False,False,False,False,False,-1,Active
22.0,54.3,1.85,165.0,144.0,53.0,2.0,1740.0,26.6,3.7,4.0,2.0,20.04,15.865595325054782,Long,870.0,112.0,0.06813996316758748,0.8727272727272727,True,False,False,False,False,True,False,-1,Active
25.0,63.9,1.67,178.0,144.0,61.0,1.56,868.0,24.8,2.4,3.0,2.0,24.51,22.912259313707914,Long,556.4102564102564,117.0,0.03755868544600939,0.8089887640449438,True,False,True,False,False,False,False,0,Active
32.0,56.6,2.0,190.0,123.0,65.0,1.25,1309.0,14.7,3.5,4.0,3.0,17.83,14.15,Medium,1047.2,125.0,0.06183745583038869,0.6473684210526316,True,True,False,False,False,False,False,-1,Active
29.0,95.3,1.72,190.0,169.0,74.0,1.49,733.0,29.2,3.7,5.0,3.0,20.06,32.213358572201194,Medium,491.9463087248322,116.0,0.038824763903462754,0.8894736842105263,False,True,False,False,False,False,False,-1,Active
30.0,96.3,2.0,173.0,136.0,74.0,2.0,1095.0,20.4,1.5,5.0,2.0,25.83,24.075,Long,547.5,99.0,0.01557632398753894,0.7861271676300579,False,True,False,False,False,False,False,-1,Active
33.0,60.5,1.54,195.0,126.0,56.0,1.27,1237.0,29.1,3.7,4.0,2.0,21.23,25.510204081632654,Medium,974.0157480314961,139.0,0.061157024793388436,0.6461538461538462,True,False,False,False,False,False,False,-1,Active
54.0,56.3,1.59,172.0,169.0,68.0,1.47,936.0,19.6,3.1,4.0,2.0,18.7,22.26968869902298,Medium,636.7346938775511,104.0,0.055062166962699825,0.9825581395348837,False,False,False,False,False,False,False,-1,Active
49.0,45.0,1.84,190.0,159.0,53.0,1.3,864.0,26.5,1.5,4.0,2.0,17.11,13.291587901701323,Medium,664.6153846153846,137.0,0.03333333333333333,0.8368421052631579,True,True,False,False,False,False,False,-1,Active
53.0,87.7,1.84,164.0,152.0,53.0,1.37,1066.0,24.7,2.6,5.0,2.0,25.16,25.90382797731569,Medium,778.1021897810218,111.0,0.029646522234891677,0.926829268292683,True,False,False,False,False,False,False,-1,Active
54.0,46.1,1.85,187.0,162.0,63.0,1.35,772.0,25.7,3.6,4.0,1.0,20.62,13.469685902118334,Medium,571.8518518518518,124.0,0.07809110629067245,0.8663101604278075,False,False,True,False,False,False,False,0,Active
18.0,69.8,1.82,178.0,168.0,58.0,1.9,963.0,31.4,3.7,5.0,2.0,34.21,21.072334259147443,Long,506.8421052631579,120.0,0.05300859598853869,0.9438202247191011,False,True,False,False,False,False,False,0,Active
18.0,79.2,1.77,198.0,137.0,66.0,1.2,1429.0,12.9,3.7,3.0,2.0,19.07,25.280091927607007,Medium,1190.8333333333335,132.0,0.04671717171717172,0.6919191919191919,True,False,False,True,False,False,False,-1,Active
29.0,60.6,1.76,188.0,148.0,50.0,1.38,676.0,30.2,2.5,3.0,,23.73,19.56353305785124,Medium,489.8550724637682,138.0,0.041254125412541254,0.7872340425531915,True,False,True,False,False,False,False,-1,Active
22.0,53.3,1.73,172.0,144.0,71.0,1.1,1235.0,22.8,2.6,3.0,1.0,13.13,17.8088141935915,Medium,1122.7272727272727,101.0,0.04878048780487805,0.8372093023255814,False,False,True,False,False,False,False,-1,Active
20.0,95.7,1.85,196.0,136.0,58.0,1.44,987.0,23.8,1.5,3.0,2.0,15.47,27.962016070124175,Medium,685.4166666666667,138.0,0.01567398119122257,0.6938775510204082,True,True,False,False,False,False,False,-1,Active
29.0,57.4,1.74,198.0,165.0,67.0,1.58,880.0,20.9,3.3,4.0,1.0,,18.958911348923237,Long,556.9620253164557,131.0,0.05749128919860627,0.8333333333333334,False,False,True,False,False,False,False,0,Active
47.0,87.3,1.9,194.0,164.0,74.0,1.87,1073.0,23.7,3.5,5.0,2.0,20.1,24.182825484764543,Long,573.7967914438502,120.0,0.04009163802978236,0.845360824742268,True,True,False,False,False,False,False,0,Active
18.0,79.2,1.66,176.0,154.0,72.0,1.58,1493.0,18.1,2.3,3.0,1.0,14.27,28.74147191174336,Long,944.9367088607595,104.0,0.029040404040404037,0.875,True,False,True,False,False,False,False,-1,Active
18.0,73.8,1.75,187.0,149.0,74.0,1.64,1065.0,17.7,2.4,3.0,1.0,17.79,24.097959183673467,Long,649.390243902439,113.0,0.032520325203252036,0.7967914438502673,True,True,False,False,False,False,False,0,Active
33.0,66.3,1.76,164.0,120.0,74.0,1.44,419.0,25.4,2.6,3.0,3.0,20.67,21.4036673553719,Medium,290.97222222222223,90.0,0.03921568627450981,0.7317073170731707,False,False,False,False,False,False,False,-1,Active
27.0,72.8,1.82,162.0,136.0,57.0,1.23,780.0,11.4,3.5,4.0,3.0,22.59,21.978021978021975,Medium,634.1463414634146,105.0,0.04807692307692308,0.8395061728395061,True,True,False,False,False,False,False,-1,Active
38.0,50.0,1.75,186.0,135.0,59.0,2.0,695.0,23.4,1.6,4.0,1.0,49.84,16.3265306122449,Long,347.5,127.0,0.032,0.7258064516129032,True,False,True,False,False,False,False,-1,Active
29.0,93.5,1.85,166.0,167.0,74.0,1.01,670.0,23.2,2.6,3.0,1.0,19.83,27.319211102994885,Medium,663.3663366336633,92.0,0.027807486631016044,1.0060240963855422,False,False,False,False,False,False,False,-1,Active
54.0,84.0,1.94,178.0,133.0,53.0,1.47,942.0,30.7,1.5,4.0,1.0,16.61,22.31905622276544,Medium,640.8163265306123,125.0,0.017857142857142856,0.7471910112359551,True,False,False,True,False,False,False,-1,Active
37.0,55.3,1.73,183.0,134.0,51.0,1.1,976.0,31.3,2.8,2.0,2.0,16.26,18.47706238096829,Medium,887.2727272727273,132.0,0.05063291139240506,0.73224043715847,False,False,False,True,False,False,False,-1,Active
21.0,66.6,1.85,189.0,121.0,56.0,0.88,993.0,13.9,3.4,5.0,1.0,12.32,19.459459459459456,Medium,1128.409090909091,133.0,0.05105105105105105,0.6402116402116402,True,True,False,False,False,False,False,-1,Active
21.0,65.8,1.62,172.0,127.0,62.0,1.35,1307.0,26.0,3.4,3.0,1.0,15.3,25.072397500381033,Medium,968.148148148148,110.0,0.05167173252279635,0.7383720930232558,False,False,False,False,False,False,False,0,Active
26.0,59.8,1.6,180.0,151.0,58.0,1.2,611.0,16.4,2.5,3.0,3.0,12.63,23.359374999999993,Medium,509.1666666666667,122.0,0.04180602006688963,0.8388888888888889,False,True,False,False,False,False,False,0,Active
42.0,80.3,1.94,192.0,169.0,52.0,1.72,753.0,24.6,3.5,5.0,2.0,33.99,21.335954936762676,Long,437.7906976744186,140.0,0.043586550435865505,0.8802083333333334,False,False,False,True,False,False,False,0,Active
31.0,129.9,1.7,190.0,169.0,69.0,1.38,735.0,10.0,2.1,3.0,3.0,16.07,44.94809688581316,Medium,532.608695652174,121.0,0.016166281755196306,0.8894736842105263,False,False,True,False,False,False,False,0,Active
50.0,40.0,1.75,162.0,169.0,55.0,2.0,1449.0,31.7,3.5,4.0,3.0,28.18,13.061224489795919,Long,724.5,107.0,0.0875,1.0432098765432098,False,False,False,True,False,False,False,-1,Active
51.0,91.7,1.72,168.0,137.0,58.0,0.86,1529.0,10.0,1.7,,1.0,14.15,30.99648458626285,Medium,1777.906976744186,110.0,0.018538713195201745,0.8154761904761905,False,False,False,False,False,False,False,-1,Active
18.0,64.8,1.82,169.0,156.0,69.0,1.93,1516.0,21.9,3.5,3.0,2.0,17.69,19.56285472768989,Long,785.4922279792746,100.0,0.05401234567901235,0.9230769230769231,True,False,True,False,False,False,False,-1,Active
54.0,60.1,1.63,174.0,159.0,72.0,0.52,893.0,18.4,3.6,4.0,1.0,20.56,22.620347020964285,Short,1717.3076923076922,102.0,0.059900166389351084,0.9137931034482759,True,False,False,False,False,False,False,-1,Active
37.0,46.3,1.69,181.0,141.0,67.0,1.64,1445.0,20.7,2.5,4.0,2.0,19.11,16.210916984699416,Long,881.0975609756098,114.0,0.05399568034557236,0.7790055248618785,True,False,True,False,False,False,False,0,Active
21.0,66.9,1.69,197.0,149.0,74.0,1.37,872.0,16.6,2.6,5.0,2.0,33.07,23.4235495956024,Medium,636.4963503649634,123.0,0.03886397608370702,0.7563451776649747,True,False,False,True,False,False,False,0,Active
